date,stock,strike,option_type,option_symbol,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,max_profit_pct,max_loss_pct
2025-12-02,ITC,400,PE,ITC 400 PE 27 JAN 26,2025-12-02 04:02:00+00:00,404.85,5.05,2025-12-02 09:59:00+00:00,401.0,6.35,Time Stop,25.742574257425737,4874.999999999999,-0.9509694948746505,28.712871287128717,0.0
2025-12-04,ITC,400,CE,ITC 400 CE 27 JAN 26,2025-12-04 04:17:00+00:00,400.7,11.05,2025-12-04 09:59:00+00:00,403.0,12.3,Time Stop,11.312217194570135,4687.5,0.5739955078612456,11.312217194570135,0.0
2025-12-10,ITC,400,CE,ITC 400 CE 27 JAN 26,2025-12-10 04:24:00+00:00,402.6,12.25,2025-12-10 09:59:00+00:00,403.35,11.35,Time Stop,-7.346938775510208,-3375.0000000000014,0.18628912071535023,2.0408163265306123,-7.755102040816321
2025-12-12,ITC,400,PE,ITC 400 PE 27 JAN 26,2025-12-12 04:17:00+00:00,402.5,4.5,2025-12-12 09:59:00+00:00,400.5,5.5,Time Stop,22.22222222222222,3750.0,-0.4968944099378882,29.999999999999993,0.0
2025-12-15,ITC,400,CE,ITC 400 CE 27 JAN 26,2025-12-15 04:10:00+00:00,400.2,9.6,2025-12-15 09:59:00+00:00,402.25,10.8,Time Stop,12.50000000000001,4500.000000000004,0.5122438780609724,18.750000000000007,-1.5625000000000038
2025-12-01,SBIN,1000,PE,SBIN 1000 PE 30 DEC 25,2025-12-01 04:00:00+00:00,988.15,21.25,2025-12-01 09:59:00+00:00,972.6,30.0,Time Stop,41.17647058823529,32812.5,-1.573647725547736,47.05882352941176,-4.000000000000007
2025-12-02,SBIN,1000,PE,SBIN 1000 PE 30 DEC 25,2025-12-02 04:00:00+00:00,977.5,26.5,2025-12-02 09:59:00+00:00,969.9,31.6,Time Stop,19.24528301886793,19125.000000000004,-0.7774936061381098,32.075471698113205,-7.358490566037733
2025-12-03,SBIN,1000,PE,SBIN 1000 PE 30 DEC 25,2025-12-03 04:00:00+00:00,962.9,38.2,2025-12-03 09:59:00+00:00,950.8,46.65,Time Stop,22.120418848167525,31687.499999999985,-1.2566206251947267,29.842931937172768,-0.6544502617801046
2025-12-05,SBIN,900,CE,SBIN 900 CE 30 DEC 25,2025-12-05 04:01:00+00:00,949.9,57.0,2025-12-05 09:59:00+00:00,971.75,75.0,Time Stop,31.57894736842105,67500.0,2.300242130750608,33.15789473684212,0.0
2025-12-15,SBIN,1000,CE,SBIN 1000 CE 30 DEC 25,2025-12-15 04:00:00+00:00,960.3,2.3,2025-12-15 09:59:00+00:00,966.1,2.95,Time Stop,28.260869565217412,2437.5000000000014,0.6039779235655596,47.82608695652175,-6.52173913043478
2025-12-01,BHARTIARTL,2100,PE,BHARTIARTL 2100 PE 27 JAN 26,2025-12-01 05:15:00+00:00,2105.3,38.0,2025-12-01 09:59:00+00:00,2093.5,45.0,Time Stop,18.421052631578945,26250.0,-0.5604901914216587,31.57894736842105,0.0
2025-12-03,BHARTIARTL,2100,PE,BHARTIARTL 2100 PE 27 JAN 26,2025-12-03 04:30:00+00:00,2094.9,44.2,2025-12-03 09:59:00+00:00,2088.3,48.55,Time Stop,9.841628959276004,16312.499999999978,-0.3150508377488142,9.841628959276004,0.0
2025-12-04,BHARTIARTL,2100,CE,BHARTIARTL 2100 CE 27 JAN 26,2025-12-04 04:04:00+00:00,2086.0,59.1,2025-12-04 09:59:00+00:00,2101.2,60.0,Time Stop,1.5228426395939063,3374.9999999999945,0.7286673058485051,1.5228426395939063,-11.50592216582065
2025-12-05,BHARTIARTL,2100,CE,BHARTIARTL 2100 CE 27 JAN 26,2025-12-05 06:14:00+00:00,2095.1,61.1,2025-12-05 09:59:00+00:00,2102.4,68.0,Time Stop,11.292962356792142,25874.999999999996,0.34843205574913766,11.292962356792142,0.0
2025-12-11,BHARTIARTL,2100,PE,BHARTIARTL 2100 PE 27 JAN 26,2025-12-11 04:00:00+00:00,2057.4,60.6,2025-12-11 09:59:00+00:00,2054.0,62.0,Time Stop,2.310231023102308,5249.9999999999945,-0.16525712063770248,15.099009900990096,-3.7953795379538025
2025-12-12,BHARTIARTL,2100,CE,BHARTIARTL 2100 CE 27 JAN 26,2025-12-12 04:02:00+00:00,2065.2,41.0,2025-12-12 09:59:00+00:00,2082.1,47.0,Time Stop,14.634146341463413,22500.0,0.8183226806120517,17.073170731707318,-4.2682926829268295
2025-12-01,KOTAKBANK,2100,CE,KOTAKBANK 2100 CE 27 JAN 26,2025-12-01 04:24:00+00:00,2142.7,107.55,2025-12-01 09:59:00+00:00,2152.2,102.6,Time Stop,-4.602510460251049,-18562.50000000001,0.4433658468287675,3.9981403998140372,-6.555090655509063
2025-12-04,KOTAKBANK,2100,PE,KOTAKBANK 2100 PE 27 JAN 26,2025-12-04 05:16:00+00:00,2141.5,31.95,2025-12-04 09:59:00+00:00,2129.5,32.0,Time Stop,0.15649452269170802,187.50000000000267,-0.5603548914312398,13.928012519561813,-2.9733959311424076
2025-12-05,KOTAKBANK,2100,CE,KOTAKBANK 2100 CE 27 JAN 26,2025-12-05 04:24:00+00:00,2147.0,105.2,2025-12-05 09:59:00+00:00,2154.8,105.0,Time Stop,-0.19011406844106732,-750.0000000000107,0.36329762459246306,3.7072243346007525,-7.794676806083653
2025-12-11,KOTAKBANK,2100,CE,KOTAKBANK 2100 CE 27 JAN 26,2025-12-11 05:06:00+00:00,2136.5,108.65,2025-12-11 09:59:00+00:00,2185.7,120.05,Time Stop,10.492406810860553,42749.99999999997,2.3028317341446205,26.09295904279797,0.0
