Stock,Type,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
360ONE,SHORT,2025-11-07 09:16:00,2025-11-07 09:27:00,1063.4,1058.7,0.4419785593379768
360ONE,LONG,2025-11-07 09:49:00,2025-11-07 09:55:00,1066.7,1064.0,-0.2531170900909389
360ONE,LONG,2025-11-17 09:27:00,2025-11-17 09:33:00,1073.2,1068.8,-0.409988818486777
360ONE,SHORT,2025-11-18 09:58:00,2025-11-18 10:07:00,1057.6,1059.0,-0.1323751891074216
360ONE,LONG,2025-11-21 09:47:00,2025-11-21 10:17:00,1135.0,1142.1,0.6255506607929435
ABB,LONG,2025-11-03 09:35:00,2025-11-03 09:45:00,5275.0,5267.5,-0.14218009478672985
ABB,SHORT,2025-11-07 09:16:00,2025-11-07 09:29:00,5016.5,5048.5,-0.6378949466759692
ABB,SHORT,2025-11-21 09:54:00,2025-11-21 09:58:00,5105.0,5112.5,-0.14691478942213515
ABCAPITAL,SHORT,2025-11-11 09:35:00,2025-11-11 09:57:00,326.7,326.6,0.03060912151820199
ABCAPITAL,SHORT,2025-11-21 09:55:00,2025-11-21 09:58:00,325.35,325.85,-0.15368065160596278
ABCAPITAL,LONG,2025-11-24 09:50:00,2025-11-24 10:17:00,329.75,331.8,0.6216830932524674
ACC,SHORT,2025-11-04 09:51:00,2025-11-04 10:01:00,1847.4,1848.0,-0.03247807729781905
ACC,SHORT,2025-11-10 09:28:00,2025-11-10 09:31:00,1833.9,1838.7,-0.261737281203989
ACC,LONG,2025-11-10 09:52:00,2025-11-10 09:59:00,1846.4,1846.0,-0.021663778162916536
ACC,LONG,2025-11-12 09:16:00,2025-11-12 09:29:00,1855.0,1852.0,-0.16172506738544476
ACC,LONG,2025-11-12 09:49:00,2025-11-12 10:05:00,1858.9,1860.7,0.0968314594652727
ACC,LONG,2025-11-13 09:47:00,2025-11-13 09:48:00,1854.8,1850.0,-0.25878800948889125
ACC,SHORT,2025-11-14 09:52:00,2025-11-14 10:05:00,1845.2,1844.0,0.06503360069369421
ACC,LONG,2025-11-17 09:16:00,2025-11-17 09:29:00,1853.0,1851.2,-0.09713977334052643
ACC,SHORT,2025-11-18 09:51:00,2025-11-18 10:15:00,1840.8,1839.5,0.0706214689265512
ACC,SHORT,2025-11-19 09:57:00,2025-11-19 10:15:00,1837.0,1837.0,-0.0
ACC,LONG,2025-11-20 09:17:00,2025-11-20 09:26:00,1850.0,1847.8,-0.11891891891892138
ADANIENSOL,LONG,2025-11-03 09:46:00,2025-11-03 09:51:00,1004.1,997.55,-0.6523254655910834
ADANIENSOL,SHORT,2025-11-07 09:22:00,2025-11-07 09:38:00,956.75,955.05,0.17768487065587096
ADANIENSOL,LONG,2025-11-12 09:40:00,2025-11-12 09:52:00,999.45,1003.7,0.42523387863324824
ADANIENSOL,LONG,2025-11-12 09:57:00,2025-11-12 10:02:00,1017.9,1014.05,-0.3782296885745184
ADANIENSOL,LONG,2025-11-13 09:50:00,2025-11-13 10:05:00,1016.85,1016.5,-0.03442002261887424
ADANIENSOL,LONG,2025-11-14 09:47:00,2025-11-14 09:51:00,1046.95,1040.9,-0.5778690481875881
