Stock,Type,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
360ONE,SHORT,2025-11-07 09:16:00,2025-11-07 09:27:00,1063.4,1058.7,0.4419785593379768
ABB,SHORT,2025-11-07 09:16:00,2025-11-07 09:29:00,5016.5,5048.5,-0.6378949466759692
ACC,LONG,2025-11-12 09:16:00,2025-11-12 09:29:00,1855.0,1852.0,-0.16172506738544476
ACC,LONG,2025-11-17 09:16:00,2025-11-17 09:29:00,1853.0,1851.2,-0.09713977334052643
ADANIENT,LONG,2025-11-12 09:16:00,2025-11-12 09:19:00,2314.06,2302.62,-0.4943692039100133
ADANIENT,LONG,2025-11-20 09:16:00,2025-11-20 09:28:00,2455.9,2466.0,0.4112545299075658
ADANIGREEN,LONG,2025-11-12 09:16:00,2025-11-12 09:29:00,1057.0,1055.7,-0.12298959318826438
ADANIGREEN,SHORT,2025-11-24 09:16:00,2025-11-24 09:25:00,1019.9,1021.4,-0.14707324247475242
ADANIPORTS,LONG,2025-11-06 09:16:00,2025-11-06 09:18:00,1461.3,1445.1,-1.1086019297885477
ADANIPORTS,SHORT,2025-11-21 09:16:00,2025-11-21 09:21:00,1477.0,1483.9,-0.4671631685849757
ALKEM,LONG,2025-11-04 09:16:00,2025-11-04 09:31:00,5654.0,5661.0,0.12380615493455961
AMBUJACEM,LONG,2025-11-04 09:16:00,2025-11-04 09:22:00,587.05,581.65,-0.9198535048121927
AMBUJACEM,LONG,2025-11-20 09:16:00,2025-11-20 09:25:00,559.7,558.9,-0.14293371448991748
ANGELONE,LONG,2025-11-12 09:16:00,2025-11-12 09:20:00,2655.1,2646.6,-0.32013860118262966
ANGELONE,SHORT,2025-11-21 09:16:00,2025-11-21 09:21:00,2800.1,2804.4,-0.15356594407343244
APOLLOHOSP,SHORT,2025-11-13 09:16:00,2025-11-13 09:24:00,7453.5,7457.0,-0.04695780505802643
APOLLOTYRE,LONG,2025-11-17 09:16:00,2025-11-17 09:27:00,533.65,531.65,-0.37477747587370003
ASHOKLEY,LONG,2025-11-06 09:16:00,2025-11-06 09:28:00,141.91,142.96,0.7399055739553319
