Stock,Date,Entry Time,Exit Time,Strike,Type,Entry Premium,Exit Premium,P&L %
GMRAIRPORT,2025-11-18,09:16,09:42,98,CE,1.41,3.33,136.17021276595747
KPITTECH,2025-11-24,11:03,11:32,1200,CE,6.8,13.75,102.20588235294119
HEROMOTOCO,2025-11-20,09:15,09:42,5950,CE,57.65,106.55,84.82220294882914
PERSISTENT,2025-11-19,09:15,09:36,6100,CE,105.05,180.1,71.44217039504997
LTIM,2025-11-19,09:15,09:49,5800,CE,84.8,137.1,61.67452830188679
HEROMOTOCO,2025-11-17,09:15,09:43,5600,CE,100.35,161.65,61.086198305929265
POLICYBZR,2025-11-19,11:03,11:28,1820,CE,32.8,51.55,57.16463414634146
NMDC,2025-11-10,09:15,09:40,75,CE,1.5,2.25,50.0
NATIONALUM,2025-11-10,09:15,09:35,245,CE,6.27,9.3,48.32535885167466
UNIONBANK,2025-11-21,12:33,12:57,150,CE,2.14,3.15,47.19626168224298
NATIONALUM,2025-11-20,09:15,09:44,260,CE,3.25,4.57,40.61538461538463
MOTHERSON,2025-11-19,09:25,09:47,110,CE,2.08,2.86,37.499999999999986
HCLTECH,2025-11-10,09:50,10:35,1520,CE,32.3,42.9,32.81733746130032
PAYTM,2025-11-07,09:50,10:17,1320,CE,41.55,54.45,31.046931407942253
NYKAA,2025-11-14,11:01,11:41,260,CE,4.61,5.99,29.9349240780911
NYKAA,2025-11-13,11:37,12:14,255,CE,7.16,9.23,28.910614525139668
MOTHERSON,2025-11-13,14:58,15:11,106,CE,3.41,4.38,28.445747800586503
MARICO,2025-11-12,13:07,13:51,720,CE,14.0,17.75,26.785714285714285
IGL,2025-11-11,10:49,11:00,215,CE,5.27,6.58,24.857685009487675
MUTHOOTFIN,2025-11-14,09:15,09:32,3650,CE,90.15,110.9,23.017193566278422
PRESTIGE,2025-11-14,12:28,12:58,1740,CE,38.0,46.7,22.89473684210527
HINDZINC,2025-11-10,09:15,09:51,480,CE,12.2,14.95,22.540983606557376
GODREJPROP,2025-11-12,12:59,13:38,2180,CE,53.45,65.4,22.357343311506085
GLENMARK,2025-11-13,10:25,10:45,1880,CE,59.3,72.0,21.416526138279938
MOTHERSON,2025-11-11,13:30,14:02,104,CE,3.22,3.87,20.186335403726705
PERSISTENT,2025-11-11,09:15,09:49,5900,CE,163.15,194.7,19.33803248544283
HAL,2025-11-10,09:17,09:43,4650,CE,138.8,164.75,18.695965417867423
NAUKRI,2025-11-10,10:24,10:46,1340,CE,37.65,44.0,16.865869853917665
GMRAIRPORT,2025-11-07,10:29,10:50,95,CE,2.85,3.3,15.789473684210517
OIL,2025-11-07,11:08,11:34,435,CE,10.6,12.2,15.094339622641506
NYKAA,2025-11-10,09:15,09:38,255,CE,6.31,6.2,-1.7432646592709895
