Stock,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
CAMS,2025-11-12 09:15:00,2025-11-12 09:52:00,3856.8,3995.4,3.593652769135032
GMRAIRPORT,2025-11-18 09:16:00,2025-11-18 09:42:00,98.13,100.92,2.8431672271476676
LICI,2025-11-07 12:31:00,2025-11-07 12:58:00,905.25,927.85,2.496547914940627
NATIONALUM,2025-11-10 09:15:00,2025-11-10 09:35:00,247.06,252.66,2.266655873067269
MOTHERSON,2025-11-13 14:58:00,2025-11-13 15:11:00,106.11,108.01,1.7905946659127374
NMDC,2025-11-10 09:15:00,2025-11-10 09:40:00,74.63,75.86,1.648130778507308
POLICYBZR,2025-11-19 11:03:00,2025-11-19 11:28:00,1828.9,1858.5,1.6184591831155288
POLICYBZR,2025-11-07 12:13:00,2025-11-07 12:42:00,1761.5,1789.3,1.5782003973885868
PERSISTENT,2025-11-19 09:15:00,2025-11-19 09:36:00,6133.0,6223.0,1.4674710582096855
HEROMOTOCO,2025-11-17 09:15:00,2025-11-17 09:43:00,5616.5,5696.0,1.4154722692068014
BSE,2025-11-07 12:39:00,2025-11-07 13:00:00,2577.1,2613.5,1.4124403399169645
ADANIGREEN,2025-11-12 09:43:00,2025-11-12 10:13:00,1071.0,1086.1,1.4098972922502249
LTIM,2025-11-19 09:15:00,2025-11-19 09:49:00,5807.0,5888.5,1.4034785603581883
PAYTM,2025-11-07 09:50:00,2025-11-07 10:17:00,1323.7,1341.5,1.3447155699931974
MUTHOOTFIN,2025-11-14 09:15:00,2025-11-14 09:32:00,3647.9,3696.3,1.3267907563255597
ONGC,2025-11-12 09:15:00,2025-11-12 09:36:00,251.6,254.9,1.3116057233704337
HEROMOTOCO,2025-11-20 09:15:00,2025-11-20 09:42:00,5927.0,6004.0,1.2991395309600136
NYKAA,2025-11-13 11:37:00,2025-11-13 12:14:00,257.24,260.39,1.224537396983353
HINDZINC,2025-11-10 09:15:00,2025-11-10 09:51:00,478.75,484.55,1.2114882506527438
GLENMARK,2025-11-13 10:25:00,2025-11-13 10:45:00,1887.1,1909.9,1.208203062900757
NYKAA,2025-11-14 11:01:00,2025-11-14 11:41:00,258.0,261.01,1.166666666666663
HCLTECH,2025-11-10 09:50:00,2025-11-10 10:35:00,1523.8,1541.3,1.1484446777792363
KPITTECH,2025-11-12 10:39:00,2025-11-12 11:00:00,1230.0,1243.0,1.056910569105691
NATIONALUM,2025-11-20 09:15:00,2025-11-20 09:44:00,258.83,261.55,1.0508828188386306
PRESTIGE,2025-11-14 12:28:00,2025-11-14 12:58:00,1734.0,1752.2,1.0495963091118827
ADANIENSOL,2025-11-11 13:24:00,2025-11-11 13:46:00,969.5,979.55,1.0366168127900932
HAL,2025-11-10 09:17:00,2025-11-10 09:43:00,4673.1,4718.0,0.9608183004857511
DELHIVERY,2025-11-04 12:57:00,2025-11-04 13:16:00,483.6,488.2,0.9511993382961054
LODHA,2025-11-03 09:39:00,2025-11-03 09:57:00,1210.9,1222.0,0.9166735486002071
GODREJPROP,2025-11-12 12:59:00,2025-11-12 13:38:00,2184.0,2203.9,0.9111721611721654
MOTHERSON,2025-11-19 09:25:00,2025-11-19 09:47:00,110.17,111.15,0.8895343559952836
IGL,2025-11-11 10:49:00,2025-11-11 11:00:00,212.75,214.64,0.8883666274970559
SUPREMEIND,2025-11-03 10:35:00,2025-11-03 10:54:00,3820.9,3854.8,0.8872255227825929
GMRAIRPORT,2025-11-07 10:29:00,2025-11-07 10:50:00,95.2,96.04,0.8823529411764742
BSE,2025-11-12 09:15:00,2025-11-12 09:37:00,2781.3,2805.4,0.8665012763815448
NAUKRI,2025-11-10 10:24:00,2025-11-10 10:46:00,1339.5,1351.0,0.8585293019783502
HFCL,2025-11-11 15:04:00,2025-11-11 15:20:00,77.59,78.25,0.8506250805516131
HUDCO,2025-11-17 14:23:00,2025-11-17 14:45:00,233.68,235.65,0.8430332078055455
HUDCO,2025-11-17 09:17:00,2025-11-17 09:34:00,229.73,231.65,0.8357637226309216
POLICYBZR,2025-11-04 09:15:00,2025-11-04 09:37:00,1826.8,1842.0,0.8320560543026082
POLICYBZR,2025-11-03 11:04:00,2025-11-03 11:32:00,1789.5,1804.0,0.8102822017323273
MARICO,2025-11-12 13:07:00,2025-11-12 13:51:00,717.8,723.5,0.7940930621343055
UNIONBANK,2025-11-21 12:33:00,2025-11-21 12:57:00,151.2,152.4,0.793650793650805
NYKAA,2025-11-10 09:15:00,2025-11-10 09:38:00,252.54,254.54,0.7919537499010058
JIOFIN,2025-11-11 11:39:00,2025-11-11 12:07:00,301.3,303.65,0.7799535346830289
MOTHERSON,2025-11-11 13:30:00,2025-11-11 14:02:00,103.89,104.7,0.7796708056598347
PERSISTENT,2025-11-11 09:15:00,2025-11-11 09:49:00,5930.0,5976.0,0.775716694772344
POLICYBZR,2025-11-17 12:42:00,2025-11-17 12:57:00,1758.0,1771.6,0.7736063708759903
OIL,2025-11-07 11:08:00,2025-11-07 11:34:00,434.15,437.45,0.7601059541633103
KPITTECH,2025-11-24 11:03:00,2025-11-24 11:32:00,1196.8,1205.6,0.7352941176470551
GMRAIRPORT,2025-11-06 09:39:00,2025-11-06 09:57:00,95.39,96.08,0.7233462627109736
HAL,2025-11-24 13:37:00,2025-11-24 14:00:00,4453.0,4485.0,0.7186166629238716
PRESTIGE,2025-11-11 11:39:00,2025-11-11 12:02:00,1748.4,1760.9,0.7149393731411576
NESTLEIND,2025-11-12 10:56:00,2025-11-12 11:24:00,1273.6,1282.7,0.714510050251267
NATIONALUM,2025-11-07 12:49:00,2025-11-07 13:20:00,235.64,237.3,0.7044644372772132
SUPREMEIND,2025-11-12 15:11:00,2025-11-12 15:24:00,3896.7,3924.1,0.70315908332692
ANGELONE,2025-11-07 12:27:00,2025-11-07 12:48:00,2518.5,2536.0,0.6948580504268413
BANKINDIA,2025-11-07 13:02:00,2025-11-07 13:43:00,143.0,143.99,0.6923076923076986
ANGELONE,2025-11-12 09:34:00,2025-11-12 09:58:00,2679.8,2698.0,0.6791551608328912
PHOENIXLTD,2025-11-03 12:23:00,2025-11-03 12:35:00,1738.4,1749.9,0.6615278416935113
FORTIS,2025-11-17 11:46:00,2025-11-17 12:18:00,937.8,944.0,0.6611217743655412
GLENMARK,2025-11-19 12:11:00,2025-11-19 12:32:00,1848.1,1860.3,0.6601374384503028
HEROMOTOCO,2025-11-14 10:37:00,2025-11-14 11:00:00,5566.5,5603.0,0.6557082547381657
PHOENIXLTD,2025-11-04 12:31:00,2025-11-04 13:05:00,1755.7,1767.2,0.6550093979609272
OIL,2025-11-12 09:19:00,2025-11-12 09:34:00,443.5,446.4,0.6538895152198371
ANGELONE,2025-11-13 11:58:00,2025-11-13 12:16:00,2740.6,2758.5,0.6531416478143506
CAMS,2025-11-07 12:39:00,2025-11-07 13:06:00,3728.0,3752.0,0.6437768240343348
HDFCBANK,2025-11-20 12:29:00,2025-11-20 12:47:00,1000.3,1006.6,0.629811056683002
